update_id,post_number,base_path,update_path,applied_path,update_type,claim_status
post-01-v1.8.1,01,docs/substack-ready/posts-v1.7.2-launch/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.7.2.md,docs/substack-ready/posts-v1.8.1-updates/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-02-v1.8.1,02,docs/substack-ready/posts-v1.7.2-launch/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.7.2.md,docs/substack-ready/posts-v1.8.1-updates/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-03-v1.8.1,03,docs/substack-ready/posts-v1.7.2-launch/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.7.2.md,docs/substack-ready/posts-v1.8.1-updates/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-04-v1.8.1,04,docs/substack-ready/posts-v1.7.2-launch/post-04-why-formulas-do-not-solve-games-v1.7.2.md,docs/substack-ready/posts-v1.8.1-updates/post-04-why-formulas-do-not-solve-games-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-04-why-formulas-do-not-solve-games-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-05-v1.8.1,05,docs/substack-ready/posts-v1.7.2-launch/post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.7.2.md,docs/substack-ready/posts-v1.8.1-updates/post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-06-v1.8.1,06,docs/substack-ready/posts-v1.7.2-launch/post-06-what-i-mean-by-uncapping-primary-care-funding-v1.7.2.md,docs/substack-ready/posts-v1.8.1-updates/post-06-what-i-mean-by-uncapping-primary-care-funding-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-06-what-i-mean-by-uncapping-primary-care-funding-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-07-v1.8.1,07,docs/substack-ready/posts-v1.6.0-public/post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-08-v1.8.1,08,docs/substack-ready/posts-v1.6.0-public/post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-09-v1.8.1,09,docs/substack-ready/posts-v1.6.0-public/post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
post-10-v1.8.1,10,docs/substack-ready/posts-v1.6.0-public/post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.8.1-update.md,docs/substack-ready/posts-v1.8.1-applied/post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.8.1-applied.md,additive_update,public_aggregate_validated_bounded
