game_id,game_name,model_function,key_demonstrative_lever,status_quo_equilibrium,full_architecture_equilibrium,status_quo_hospital_pressure,full_architecture_hospital_pressure,status_quo_welfare,full_architecture_welfare,calibration_status,next_validation_step
G1,Hospital-salience budget game,model_g1_hospital_salience,primary_kpi_salience,hospital-rescue equilibrium,upstream-salience equilibrium,81.29,30.76,38.43,66.51,Non-calibrated demonstrative model,"Validate with budget documents, Cabinet papers, hospital pressure data, and interviews with Treasury/MoH/HNZ leaders."
G2,Health NZ internal allocation game,model_g2_hnz_allocation,primary_kpi_salience,hospital-operations dominance,balanced internal accountability,70.71,33.48,35.47,63.64,Non-calibrated demonstrative model,"Validate with HNZ planning documents, internal allocation evidence if available, and executive interviews."
G3,Capitation marginal-supply game,model_g3_capitation_supply,marginal_contact_benefit,marginal-rationing equilibrium,marginal-expansion equilibrium,80.92,30.64,38.14,76.09,Non-calibrated demonstrative model,"Calibrate against encounter volumes, capitation revenue, fees, practice costs and closed-book data."
G4,Consumer access pathway game,model_g4_consumer_pathway,copayment_protections,delay/ED-substitution equilibrium,early-access equilibrium,82.14,46.62,41.9,68.67,Non-calibrated demonstrative model,"Calibrate pathway choices using access surveys, co-payment data, ED acuity data and patient interviews."
G5,PHO intermediation game,model_g5_pho_intermediation,direct_claiming,intermediated-gatekeeping equilibrium,optional/direct-claiming equilibrium,86.25,35.5,29.26,67.51,Non-calibrated demonstrative model,"Validate PHO transaction-cost assumptions through OIA, contracts, financials, provider entry cases and PHO interviews."
G6,ACC/Health NZ cross-funder game,model_g6_acc_cross_funder,acc_constraint,siloed-cost-shifting equilibrium,whole-of-Crown flow equilibrium,75.99,47.06,38.68,63.44,Non-calibrated demonstrative model,"Link ACC claim volumes, practice revenue, non-injury access, ED demand and whole-of-Crown fiscal effects."
G7,Ambulance conveyance game,model_g7_ambulance_conveyance,ambulance_alternative_funding,ED-conveyance default,safe alternative-disposition equilibrium,87.89,53.2,41.54,66.18,Non-calibrated demonstrative model,"Calibrate conveyance, hear-and-treat, treat-and-refer, adverse events and ED disposition data."
G8,Scope-of-practice supply game,model_g8_scope_supply,scope_flexibility,professional-bottleneck equilibrium,scope-enabled supply equilibrium,86.12,41.56,41.59,73.23,Non-calibrated demonstrative model,"Validate against scopes of practice, credentialing, quality outcomes and workforce elasticity estimates."
G9,Telehealth/local-supply game,model_g9_telehealth_local_supply,telehealth_integration,telehealth-substitution/fragmentation,integrated hybrid-access equilibrium,75.97,44.27,42.5,70.77,Non-calibrated demonstrative model,"Calibrate using telehealth utilisation, continuity, rural in-person supply and local practice viability data."
G10,Co-payment calibration game,model_g10_copayment,copayment_protections,price-rationing equity failure,calibrated co-payment equilibrium,66.56,36.65,52.56,70.52,Non-calibrated demonstrative model,"Estimate price elasticity and delayed-care effects by deprivation, ethnicity, age and multimorbidity."
G11,KPI salience game,model_g11_kpi_salience,gaming_controls,hospital-target dominance,upstream target salience with balancing measures,76.72,35.87,44.62,74.96,Non-calibrated demonstrative model,"Test target salience using KPI reporting history, balancing measures and evidence of gaming or substitution."
G12,Equity and trust game,model_g12_equity_trust,equity_program_strength,benefits plus equity-function equilibrium,benefits plus equity-function equilibrium,65.25,36.12,46.19,73.86,Non-calibrated demonstrative model,"Undertake Te Tiriti/equity review with kaupapa Maori, Pacific, rural and consumer stakeholders."
G13,Political economy game,model_g13_political_economy,narrative_coherence,institutional-defence equilibrium,access-architecture coalition,69.22,46.59,47.02,71.74,Non-calibrated demonstrative model,"Map stakeholder positions, framing risks, coalition formation and policy feasibility through interviews and document analysis."
G14,Data observability game,model_g14_data_observability,data_observability,hidden-unmet-need equilibrium,observable upstream-flow equilibrium,88.39,33.97,34.31,74.99,Non-calibrated demonstrative model,"Audit data completeness, linkage capacity and whether upstream observability changes budget/performance narratives."
