game_id,game_name,core_mechanism
G1,Hospital-salience budget game,Hospital pressure is visible and urgent; upstream access failure is dispersed and delayed.
G2,Health NZ internal allocation game,Separate appropriations reduce direct diversion but not strategic salience and transfer-friction problems.
G3,Capitation marginal-supply game,Fixed per-person funding weakens marginal supply for additional eligible care.
G4,Consumer access pathway game,"Patients choose between waiting, paying, delaying, telehealth, ambulance, urgent care and ED."
G5,PHO function/intermediation game,Locality/population functions may add value; payment intermediation/pass-through may add opacity.
G6,ACC/Health NZ cross-funder game,ACC activity payments and contracts may sustain supply but can also create arbitrage.
G7,Ambulance disposition game,"Ambulance can be an upstream treatment/referral service, not only ED conveyance."
G8,Scope-of-practice supply game,Funding rules can bottleneck supply by profession rather than clinical scope.
G9,Telehealth/local-supply game,Digital access can extend care or hollow local in-person capacity.
G10,Co-payment calibration game,Co-payments can signal demand or create inequitable unmet need.
G11,KPI salience game,What is top-tier reported becomes managed.
G12,Equity/trust game,Transactional access does not replace culturally safe relational/community-led care.
G13,Political economy narrative game,"Reform can be framed as pro-market, anti-PHO, anti-GP, anti-equity or pro-patient."
G14,Data observability game,Unmet need remains less fundable if it is invisible.
G15,Place-based accountability / cherry-picking game,Uncapped benefits need population obligations or providers may select easy work.
G16,Appropriation separation / transfer-friction game,Separate buckets protect funding but may also impede whole-system resource shifts.
G17,Urgent-care evidence / opportunity-cost game,Face-to-face urgent care can deflect ED demand or absorb scarce resources.
G18,Reform coherence / initiative-fragmentation game,Tactical initiatives need one integrated architecture.
G19,Uncapped entitlement / fiscal-governance game,"Removing global caps improves marginal supply but requires item-level controls, audit and equity safeguards."
