input_id,table_name,level,required_fields,model_use,likely_source,access_route,sensitivity_if_missing
I01,ncpd_appointments,patient-practice-month,"NHI, practice_id, booked_date, seen_date, mode, urgency, provider_type, outcome","Estimate access, wait time, demand, provider-scope activity and unmet need proxies",National Primary Care Dataset,Health NZ data access framework / research agreement,High
I02,primary_encounters,patient-practice-encounter,"NHI, date, reason/contact_type, provider_type, mode, diagnosis/proxy, outcome","Estimate contact demand, provider type substitution, follow-up and safety",NPCD / practice management systems,Health NZ/research agreement/practice collaboration,High
I03,capitation_payment_flows,practice/PHO-month,"practice_id, PHO_id, capitation stream, rate, enrolments, top-ups, pass-through","Estimate capitation adequacy, PHO pass-through and baseline viability",MoH/HNZ/PHO Services Agreement/OIA/PHO collaboration,OIA + data-sharing,High
I04,fee_schedule_and_copayments,practice/service,"contact_type, public subsidy, patient fee, fee caps, CSC/VLCA status","Estimate price elasticity, equity burden and item price adequacy","Practice fees, HNZ, sector surveys",Survey/OIA/practice sample,High
I05,acc_claims_and_payments,claim-provider-month,"claim_id, provider_id/practice_id, service type, payment route, cost, date, outcome",Estimate ACC stabilisation and cross-funder substitution,ACC claims/provider payments,ACC data request / ethics if identifiable,High
I06,ambulance_events,event,"NHI if available, time, acuity, response, disposition, conveyance, handover delay, funding source","Estimate conveyance/default, deflection and ambulance-hospital interface",Ambulance providers/HNZ/ACC,Data-sharing/OIA/ethics,High
I07,ed_and_hospital_linkage,patient-event,"NHI, ED arrival, triage, diagnosis, disposition, admission, LOS, cost weight",Estimate ED/admission conversion and hospital pressure,NNPAC/NMDS/HNZ,Health data access/ethics,High
I08,workforce_and_scope,provider-practice-month,"provider_id, profession, FTE, scope, prescribing authority, sessions, vacancy","Estimate capacity, productivity, substitution and exit/entry","Workforce data, practices, regulatory bodies",Data-sharing/survey,High
I09,practice_market_entry_exit,practice-month,"practice_id, opening/closure, enrolment status, open books, new entrant, ownership","Estimate market entry response, closed books and cherry-picking","HNZ primary care data, sector survey",Data-sharing/OIA/survey,Medium
I10,equity_and_consumer_experience,patient/group,"ethnicity, NZDep, rurality, age, sex, multimorbidity, unmet need, trust/experience","Estimate equity modifiers, price response and trust legitimacy",NZ Health Survey/NES/NPCD/patient survey,Public data + linked data + survey,High
I11,urgent_after_hours_activity,service-month,"service type, in-person/digital, fees, wait, outcome, ED substitution, rurality",Estimate urgent-care effectiveness and opportunity cost,HNZ urgent care programme/providers,OIA/data-sharing,High
I12,policy_and_budget_flows,appropriation/year,"Vote, appropriation, baseline, transfer, spend, initiative, service class","Estimate budget tightness, hospital salience and fiscal exposure",Treasury/MoH/HNZ budget documents,Public/OIA,Medium
