game_id,game_name,current_equilibrium,better_equilibrium,harm_if_unresolved,hospital_growth_driver,equity_relevance,reform_tractability,reform_risk,confidence,rationale,priority_score_0_to_100
G1,Hospital-salience budget game,hospital-rescue equilibrium,upstream-salience equilibrium,,,,,,,"Hospital pressure is visible, urgent and fundable; upstream failure is dispersed.",
G2,Health NZ internal allocation game,hospital-operations dominance,balanced internal accountability,,,,,,,Hospital operational risk may dominate internal allocation attention.,
G3,Capitation marginal-supply game,marginal-rationing equilibrium,marginal-expansion equilibrium,,,,,,,Weak marginal contact payment can constrain additional clinically necessary work.,
G4,Consumer access pathway game,delay/pay/ED substitution,early-access equilibrium,,,,,,,"Consumers route around delays via co-payment, telehealth, ambulance or ED.",
G5,PHO intermediation game,intermediated-gatekeeping equilibrium,optional value-adding support,,,,,,,"PHO functions may add value, but payment intermediation may add friction.",
G6,ACC/Health NZ cross-funder game,cross-subsidy opacity,whole-system funding visibility,,,,,,,ACC activity funding may stabilise supply; isolating it may shift pressure elsewhere.,
G7,Ambulance conveyance game,ED-conveyance default,safe alternative-disposition equilibrium,,,,,,,"Ambulance alternatives need funding, governance and follow-up.",
G8,Scope-of-practice supply game,professional-bottleneck equilibrium,scope-enabled supply equilibrium,,,,,,,Funding eligibility may be narrower than safe clinical scope.,
G9,Telehealth/local-supply game,telehealth-substitution/fragmentation,integrated hybrid-access equilibrium,,,,,,,Telehealth extends access but may erode local supply if poorly integrated.,
G10,Co-payment calibration game,price-rationing equity failure,calibrated co-payment equilibrium,,,,,,,Co-payment can signal demand or deter necessary care.,
G11,KPI salience game,hospital-target dominance,upstream target salience,,,,,,,Top-tier KPIs determine what becomes managed.,
G12,Equity and trust game,transactional-access without trust,benefits plus equity-function equilibrium,,,,,,,Access benefits do not replace relational and kaupapa Maori/Pacific/locality functions.,
G13,Political economy game,institutional-defence equilibrium,access-architecture coalition,,,,,,,Reform framing determines coalition formation and resistance.,
G14,Data observability game,hidden-unmet-need equilibrium,observable upstream-flow equilibrium,,,,,,,Unobserved upstream need remains less fundable than visible hospital pressure.,
