file,target,status
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,../figures/fig-01-whole-system-flow-v1.2.0.png,exists
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/information-releases/cabinet-material-primary-health-care-funding-improvements-and-update-on-primary-health-care,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan/national-primary-care-dataset-and-new-primary-care-health-target,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/primary-care-health-target,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/information-releases/cabinet-material-primary-health-care-funding-improvements-and-update-on-primary-health-care,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan/national-primary-care-dataset-and-new-primary-care-health-target,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/primary-care-health-target,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.treasury.govt.nz/publications/estimates/vote-health-health-sector-estimates-appropriations-2025-26,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/about-us/new-zealands-health-system/health-system-roles-and-organisations/health-crown-entities,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/system/files/2022-09/health-disability-system-review-final-report.pdf,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/system/files/2025-11/H2025069314-Briefing-PHO-finances-a-summary-of-available-information.pdf,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.health.govt.nz/system/files/2025-11/H2025070512-Aide-Memoire-Meeting-with-General-Practice-New-Zealand-on-31-July-2025.pdf,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,external_not_checked
docs/substack-ready/posts-v1.5.0/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,https://www.healthnz.govt.nz/about-us/what-we-do/programmes-and-initiatives/the-ambulance-team,external_not_checked
