file,label,link,status,target
docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,Figure for Are we buying hospital growth by rationing cheaper care upstream?,../figures/fig-01-whole-system-flow-v1.2.0.png,exists,/mnt/data/repo_v151/docs/substack-ready/figures/fig-01-whole-system-flow-v1.2.0.png
docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,appendix for this post,../appendices-v1.5.1/appendix-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,exists,/mnt/data/repo_v151/docs/substack-ready/appendices-v1.5.1/appendix-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md
docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,Ministry of Health: capitation reweighting,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,Cabinet material: Primary Health Care Funding Improvements,https://www.health.govt.nz/information-releases/cabinet-material-primary-health-care-funding-improvements-and-update-on-primary-health-care,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,Health New Zealand: National Primary Care Dataset and new primary care health target,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan/national-primary-care-dataset-and-new-primary-care-health-target,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,Ministry of Health: primary care health target,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/primary-care-health-target,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,Treasury: Vote Health 2025/26 Estimates,https://www.treasury.govt.nz/publications/estimates/vote-health-health-sector-estimates-appropriations-2025-26,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,fig-02-funding-models-101-v1.2.0,../figures/fig-02-funding-models-101-v1.2.0.png,exists,/mnt/data/repo_v151/docs/substack-ready/figures/fig-02-funding-models-101-v1.2.0.png
docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,appendix for this post,../appendices-v1.5.1/appendix-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,exists,/mnt/data/repo_v151/docs/substack-ready/appendices-v1.5.1/appendix-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md
docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,Ministry of Health: capitation reweighting,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,RACGP/AJGP: understanding general practice funding models,https://www1.racgp.org.au/ajgp/2024/december/understanding-general-practice-funding-models-in-a,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,Cochrane: payment methods for outpatient healthcare providers,https://www.cochrane.org/evidence/CD011865_payment-methods-healthcare-providers-outpatient-healthcare-settings,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,Australian Department of Health: Review of General Practice Incentives,https://www.health.gov.au/resources/publications/review-of-general-practice-incentives-expert-advisory-panel-report-to-the-australian-government?language=en,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,Accident Compensation Corporation: paying patient treatment,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,Figure for Marginal supply: the tiny economic idea that decides whether appointments exist,../figures/fig-15-marginal-revenue-cost-v1.5.0.png,exists,/mnt/data/repo_v151/docs/substack-ready/figures/fig-15-marginal-revenue-cost-v1.5.0.png
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,fig-08-marginal-supply-capitation-vs-ffs-v1.4.0,../figures/fig-08-marginal-supply-capitation-vs-ffs-v1.4.0.png,exists,/mnt/data/repo_v151/docs/substack-ready/figures/fig-08-marginal-supply-capitation-vs-ffs-v1.4.0.png
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,appendix for this post,../appendices-v1.5.1/appendix-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,exists,/mnt/data/repo_v151/docs/substack-ready/appendices-v1.5.1/appendix-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,Ministry of Health: capitation reweighting,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,Accident Compensation Corporation: paying patient treatment,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,Cochrane: payment methods for outpatient healthcare providers,https://www.cochrane.org/evidence/CD011865_payment-methods-healthcare-providers-outpatient-healthcare-settings,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,RACGP/AJGP: understanding general practice funding models,https://www1.racgp.org.au/ajgp/2024/december/understanding-general-practice-funding-models-in-a,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,Cabinet material: Primary Health Care Funding Improvements,https://www.health.govt.nz/information-releases/cabinet-material-primary-health-care-funding-improvements-and-update-on-primary-health-care,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,Figure for Why formulas do not solve games,../figures/fig-09-fixed-envelope-rationing-v1.4.0.png,exists,/mnt/data/repo_v151/docs/substack-ready/figures/fig-09-fixed-envelope-rationing-v1.4.0.png
docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,appendix for this post,../appendices-v1.5.1/appendix-04-why-formulas-do-not-solve-games-v1.5.1.md,exists,/mnt/data/repo_v151/docs/substack-ready/appendices-v1.5.1/appendix-04-why-formulas-do-not-solve-games-v1.5.1.md
docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,Ministry of Health: capitation reweighting,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,Cabinet material: Primary Health Care Funding Improvements,https://www.health.govt.nz/information-releases/cabinet-material-primary-health-care-funding-improvements-and-update-on-primary-health-care,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,New Zealand Medical Journal: media content analysis of the Population-Based Funding Formula,https://nzmj.org.nz/media/pages/journal/vol-131-no-1480/a-media-content-analysis-of-new-zealand-s-district-health-board-population-based-funding-formula/6ff2e1d910-1696474509/a-media-content-analysis-of-new-zealand-s-district-health-board-population-based-funding-formula.pdf,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,New Zealand Medical Journal: Population-Based Funding Formula transparency article,https://nzmj.org.nz/media/pages/journal/vol-126-no-1376/6c9b9d56a4-1696469440/vol-126-no-1376.pdf,external_or_anchor,
docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,Ministry of Health: PHO finances briefing,https://www.health.govt.nz/system/files/2025-11/H2025069314-Briefing-PHO-finances-a-summary-of-available-information.pdf,external_or_anchor,
