update_id,original_path,update_path,update_type,claim_status
post-01-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-02-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-03-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-04-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-04-why-formulas-do-not-solve-games-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-04-why-formulas-do-not-solve-games-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-05-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-06-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-06-what-i-mean-by-uncapping-primary-care-funding-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-06-what-i-mean-by-uncapping-primary-care-funding-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-07-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-08-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-09-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-10-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-11-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-11-who-should-be-allowed-to-generate-primary-care-supply-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-11-who-should-be-allowed-to-generate-primary-care-supply-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-12-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-12-telehealth-is-an-extender-not-a-replacement-for-local-supply-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-12-telehealth-is-an-extender-not-a-replacement-for-local-supply-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-13-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-13-co-payments-demand-signal-or-equity-failure-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-13-co-payments-demand-signal-or-equity-failure-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-14-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-14-the-19-games-a-map-of-the-new-zealand-primary-care-funding-problem-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-14-the-19-games-a-map-of-the-new-zealand-primary-care-funding-problem-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-15-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-15-the-hybrid-game-why-no-single-lever-is-enough-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-15-the-hybrid-game-why-no-single-lever-is-enough-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-16-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-16-composite-modelling-what-the-demonstrative-model-adds-and-what-it-does-not-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-16-composite-modelling-what-the-demonstrative-model-adds-and-what-it-does-not-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-17-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-17-game-informed-multi-criteria-decision-analysis-making-disagreement-useful-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-17-game-informed-multi-criteria-decision-analysis-making-disagreement-useful-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
post-18-v1.8.1,docs/substack-ready/posts-v1.6.0-public/post-18-recommendations-a-primary-care-system-that-can-grow-before-hospitals-have-to-v1.6.0.md,docs/substack-ready/posts-v1.8.1-updates/post-18-recommendations-a-primary-care-system-that-can-grow-before-hospitals-have-to-v1.8.1-update.md,additive_update,public_aggregate_validated_bounded
