month,primary_contacts,unmet_need_index,ed_presentations,ambulance_conveyances,public_cost
1,1237.1155499290196,86.04137517603087,308.72402158308427,119.64873112086977,1635052.4311695176
2,1158.8673614731788,114.85089537925026,336.29152329830674,134.10296381633208,1759507.3895946795
3,1244.5611019970227,137.74465349403548,349.76130181495444,145.2277181025347,1796006.5444003497
4,1252.905303134145,162.52489763953784,363.50925302590053,152.46178072022877,1792326.472307726
5,1183.183976993471,167.16876026288102,363.17095580635106,153.71435580741291,1806647.6440957205
6,1177.3372219053838,184.74235170378492,370.0308916493707,163.08106206276804,1843834.0159828612
7,1193.582555121095,187.300467771402,372.3289077219577,162.61944174673434,1881601.3333733394
8,1155.1458005389816,200.57686252446103,378.8845032607185,164.51515036498154,1823021.9268541476
9,1087.1461279103833,217.80879617738728,373.727318449619,166.1130445629228,1871956.090569872
10,1173.4856654504952,216.98487141454754,399.3788768632541,173.60404337333048,1859457.6673704379
11,1179.4362608832841,213.79596340668724,405.49247850323445,182.23914109626122,1880757.381855754
12,1158.457660499847,215.86810115357838,393.13026368979035,173.8586458508796,1887936.6433942553
13,1203.8657708463109,227.55100589776268,401.138157563256,167.31721588138427,1874637.1066613097
14,1214.006341144569,230.51247963674965,400.0245338774731,176.91096683071038,1912483.993595351
15,1241.9789121868394,230.86406296244147,426.25921363983093,183.01137539732233,1939115.2480624914
16,1208.3020731757456,235.91201602785276,424.908271712457,195.11286872644052,2001902.7732473728
17,1223.6629129372263,231.6842467186573,417.17749533156865,185.19924602732053,1933888.8562174318
18,1139.0109479143407,234.74661310867864,429.52313647605837,196.71814205810807,1928323.125459995
19,1195.2010777818643,240.02154107914328,414.5918147906564,171.58606353765552,1923509.6357818805
20,1106.763014061398,237.98979932944397,397.1328229327482,182.53797075552578,1940048.4384667943
21,1097.5823751177645,247.30818719380213,400.11648586923184,178.69723034446733,1887717.7482474062
22,1125.8161028569787,235.38944624047116,412.82945049729284,179.5998941729184,1924872.2935811558
23,1204.1256871809317,237.55962675029684,421.4759184634545,184.23100618101506,1947671.6267770256
24,1196.2706819383734,236.66524225672637,412.614255508915,181.50821015816024,1884799.9617588506
