Item,Requirement,Project_Response,Status
Title,Identify the report as a scoping review,Working title includes rapid scoping review/evidence map,Ready
Structured summary,"Background, objectives, eligibility, sources, charting, results, conclusions",Protocol includes abstract structure; results pending,Partial
Rationale,Describe rationale in context of existing knowledge,Funding architecture problem defined,Ready
Objectives,Explicit questions and key concepts,"Review questions defined around payment, supply, access, hospital avoidance",Ready
Eligibility criteria,Characteristics of sources and rationale,New eligibility file added,Ready
Information sources,Databases and grey literature,Search strategy lists sources; update with exact dates when run,Partial
Search,Full electronic search strategy for at least one database,Draft search strings exist; librarian review needed,Partial
Selection of sources,Screening process,Screening codebook and forms added,Ready for pilot
Data charting process,Methods of extracting/charting,Extraction matrix exists; mechanism fields added,Ready for pilot
Data items,Variables and assumptions,Claim and parameter inventory define extraction targets,Ready
Critical appraisal,Optional for scoping reviews,Source quality field added; formal appraisal optional,Partial
Synthesis of results,Describe methods of summarising evidence,Evidence map planned by mechanism/outcome/setting,Ready
Results,"Selection, characteristics, critical appraisal and synthesis",Not yet complete,Not yet
Discussion,"Summary, limitations, conclusions",Template only,Not yet
Funding,Sources of support and role,To complete,Not yet
