parameter,domain,interpretation,public_input,source_name,source_url,source_value,transform_to_normalised,current_normalised_value,evidence_level,confidence_0_to_1,next_data_needed
marginal_contact_benefit,funding,Public subsidy attached to additional eligible primary/urgent/ambulance contacts.,NZ currently relies on capitation plus programme/ACC streams; no general MBS-style primary care benefits schedule exists.,Ministry of Health capitation reweighting page and ACC provider payment page,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting | https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,Capitation is core general practice funding; ACC pays activity/contract/regulation-based injury treatment.,Set current to 0.10 because marginal payment exists only partially via ACC/programmes and co-payments; benefits schedule scenarios increase this lever.,0.1,public architecture + modelling judgement,0.65,"Current capitation formula, ACC primary care claim volumes, programme funding and proposed benefit levels."
capitation_weighting,funding,"Adequacy of capitation weights for need, rurality, deprivation and multimorbidity.","The current formula dates from 2002 and has had no major changes; reweighting will consider age, sex, multimorbidity, rurality and deprivation.",Ministry of Health capitation reweighting,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,Formula introduced in 2002; new approach expected from 1 July 2026.,Current pre-reweighting value set to 0.35; reweighting scenarios set to 0.75-0.85.,0.35,public fact + modelling judgement,0.8,"Full formula/rate tables, implementation modelling, and practice-level revenue effects."
scope_flexibility,workforce/scope,"Extent to which claimable primary care activity can be generated by providers acting within scope, not only GPs.","ACC recognises GP, nurse and nurse-practitioner contributions for injury-related treatment; broader policy model would extend scope-based contact benefits.",ACC paying providers,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,"ACC contributes to consultation rates and procedures for GPs, nurses and nurse practitioners.",Current value set to 0.35 to reflect partial scope use but GP-centred funding; scope-enabled scenarios set to 0.70-0.85.,0.35,public architecture + modelling judgement,0.55,"Provider workforce counts, scopes, prescribing rules, substitution studies, clinical governance models."
pho_transaction_cost,administration,"Friction, opacity or entry barrier from PHO-mediated funding and contracting.",Current architecture still relies on PHO/service-agreement processes; transparency and pass-through issues require further evidence.,Health NZ primary care health data; prior PHO review artefacts in repo,https://www.healthnz.govt.nz/about-us/health-data/data-sets-and-collections/primary-care-data-and-statistics/primary-care-health-data,Primary care data governance and SLM processes involve PHOs; closed-books availability is reported as a primary care indicator.,Current set to 0.60; direct-claiming scenarios reduce to 0.15-0.30.,0.6,public architecture + hypothesis,0.45,"PHO financial flows, pass-through rules, provider onboarding timelines, direct claims costings."
primary_kpi_salience,accountability,Political and managerial visibility of primary care access and outcomes.,"A primary care target will take effect from 1 July 2026, proposed as >80% access within one week.",Ministry of Health primary care health target,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/primary-care-health-target,>80% of people can access an appointment with a general practice provider within one week.,Set current transitional value to 0.40 because target is announced but still being implemented; full architecture 0.85.,0.4,public fact + modelling judgement,0.8,"Final target definition, balancing measures, reporting frequency and consequence management."
ambulance_kpi_salience,accountability,"Visibility of ambulance response, demand, non-conveyance and alternative disposition outcomes.","Ambulance providers report KPI data, including response times, demand, quality and call types, to the Ambulance Team.",Health NZ Ambulance Team,https://www.healthnz.govt.nz/about-us/what-we-do/programmes-and-initiatives/the-ambulance-team,"Monthly reports show response time KPIs, demand, quality of service and call type.",Current set to 0.45 because ambulance KPIs exist but are not treated as hospital-equivalent top-tier system KPIs.,0.45,public fact + modelling judgement,0.75,"Alternative disposition, non-conveyance safety, offload delay and top-tier reporting status."
hospital_political_penalty,political economy,Relative penalty for visible hospital failure compared with upstream access failure.,"Health NZ plans and commissions hospital, primary and community services; hospitals remain highly visible operationally.",Ministry of Health Crown entities page,https://www.health.govt.nz/about-us/new-zealands-health-system/health-system-roles-and-organisations/health-crown-entities,"Health NZ plans and commissions hospital, primary and community services.",Set current to 0.90 as a strategic judgement; reduced only where upstream KPIs are top-tier and data visible.,0.9,strategic modelling hypothesis,0.45,"Budget decisions, media analysis, board papers, ministerial escalation patterns."
data_observability,data,"Ability to observe appointment access, unmet need, ambulance pathways, ED flow and avoidable hospitalisation links.","NPCD begins with general practice encounter and appointment data, including booking, seen date and outcome, from April 2026.",Health NZ National Primary Care Dataset,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan/national-primary-care-dataset-and-new-primary-care-health-target,Participating practices share encounter and appointment data from April 2026; first focus is the seven-day access target.,"Set transitional current to 0.45; full architecture 0.85 with linked primary, ambulance and hospital data.",0.45,public fact + modelling judgement,0.85,"Actual data completeness, PMS coverage, linkage to ED/ambulance/ASH and timeliness."
copayment_level,consumer price,Patient price signal/private contribution to primary care utilisation.,"In 2024/25, 14.9% of adults reported not visiting a GP because of cost; Pacific and Māori adults reported higher cost barriers.",NZ Health Survey 2024/25,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,Adults cost barrier 14.9%; Pacific adults 25.1%; Māori adults 18.7%.,Normalise national adult cost barrier against a 25% high-burden benchmark: 14.9/25 ~= 0.60.,0.6,public empirical input,0.85,"Practice fee schedules, fee caps, CSC/VLCA eligibility and utilisation response by deprivation/ethnicity/rurality."
copayment_protections,consumer price,Extent of targeted protection from co-payment barriers.,"Cost barriers remain material despite existing protections; Pacific, Māori and disabled adults have higher barriers.",NZ Health Survey 2024/25,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,"Cost barrier persisted at 14.9% nationally; Pacific 25.1%, Māori 18.7%; disabled adults had more access barriers.","Set current to 0.45; full architecture 0.80 reflecting stronger concessions, caps and zero-fee contact types.",0.45,public empirical input + modelling judgement,0.7,"Distribution of fees and unmet need by group, patient-level frequent-user protection data."
equity_program_strength,equity,"Strength of kaupapa Māori, Pacific, outreach, locality, navigation and trust functions.",Access barriers are higher for several high-need groups; equity functions must be preserved if direct benefits reduce intermediation.,NZ Health Survey 2024/25,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,"Pacific adults had highest GP cost barrier; disabled adults had more barriers including owing money, transport and support person.","Set current to 0.60, reflecting existing but insufficient equity infrastructure; full architecture 0.85.",0.6,public empirical input + modelling judgement,0.6,"Kaupapa Māori/Pacific provider capacity, programme funding, outcomes by ethnicity/deprivation/disability/rurality."
telehealth_scale,digital access,Extent of telehealth availability.,"Online and phone access are part of current Health NZ service pathways, but scale and substitution effects require data.",Health NZ service pathways,https://www.healthnz.govt.nz/about-us/health-data/data-sets-and-collections/primary-care-data-and-statistics/primary-care-health-data,Online GP Care is mentioned as a performance-reporting example; exact volumes not yet in public calibration pack.,Set current to 0.65; loose benefit scenario 0.90; full architecture keeps scale but improves integration.,0.65,public architecture + modelling judgement,0.4,"Telehealth volumes, rural uptake, substitution vs complementarity, continuity and safety outcomes."
telehealth_integration,digital access,"Integration of telehealth with local teams, records and in-person escalation.","NPCD and Shared Digital Health Record work may improve integration, but data maturity is still developing.",Health NZ primary care health data,https://www.healthnz.govt.nz/about-us/health-data/data-sets-and-collections/primary-care-data-and-statistics/primary-care-health-data,Shared Digital Health Record and NPCD are being developed; participation and data processes are evolving.,Set current to 0.45; full architecture 0.80.,0.45,public architecture + modelling judgement,0.55,"Record-linkage coverage, escalation pathways, continuity metrics, safety events."
local_inperson_loading,rural/local supply,Payment support for local and rural in-person capacity.,Time to get an appointment is the largest reported GP barrier; rural/local in-person supply is a policy concern but not fully quantified here.,NZ Health Survey 2024/25,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,25.5% of adults reported appointment wait time as a barrier.,Set current to 0.25 given persistent wait-time barrier; full architecture 0.80 with explicit local/in-person loadings.,0.25,public empirical input + modelling judgement,0.6,"Rurality, travel time, local procedural/exam-dependent service data and practice viability by region."
ambulance_alternative_funding,ambulance,"Funding for hear-and-treat, treat-and-refer, non-conveyance and alternative destination pathways.",Ambulance is commissioned by Health NZ and ACC; medical patients funded by Health NZ and injury patients by ACC.,Health NZ Ambulance Team,https://www.healthnz.govt.nz/about-us/what-we-do/programmes-and-initiatives/the-ambulance-team,Emergency ambulance services are commissioned on behalf of Health NZ and ACC; medical and injury funding split.,Set current to 0.35; ambulance-alternative scenario and full architecture to 0.75-0.80.,0.35,public architecture + modelling judgement,0.65,"Ambulance disposition data, non-conveyance safety, follow-up funding, ED avoidance rates."
acc_activity_funding,ACC,Extent to which ACC activity payments stabilise primary/urgent care marginal supply.,"ACC pays based on regulations, contracts or purchase orders, including consultation and procedure contributions for GP/nurse/NP services.",ACC paying providers,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,"ACC contributes to consultation rates and specific treatment/procedure costs for GPs, nurses and nurse practitioners.",Set current to 0.70; ACC constraint shock lowers to 0.45.,0.7,public architecture + hypothesis,0.55,"Practice revenue mix, claim volumes, provider response to ACC pricing, injury/non-injury cross-subsidy."
acc_constraint,ACC,Degree of policy/pricing constraint on ACC activity funding.,ACC provider payments are rules-based and activity-sensitive; constraining them may have cross-system effects.,ACC paying providers,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,"How ACC pays depends on service type and whether provider works under regulations, contract or purchase order.",Set current to 0.10; ACC constraint shock 0.60; full architecture 0.00-0.05.,0.1,public architecture + modelling hypothesis,0.45,"Pricing changes, claim caps, provider exit/entry response, cross-funder spillover."
budget_tightness,fiscal,"Constraint imposed by fixed envelopes, baselines and deficit pressure.","Health NZ plans/commissions hospitals, primary and community services; the model hypothesises upstream growth competes with hospital pressure.",Ministry of Health Crown entities page,https://www.health.govt.nz/about-us/new-zealands-health-system/health-system-roles-and-organisations/health-crown-entities,"Health NZ is responsible for planning and commissioning hospital, primary and community health services.",Set current to 0.85; benefit-stream scenarios lower effective tightness because activity can expand within rules.,0.85,strategic modelling hypothesis,0.5,"Vote/baseline data, spending trends by service class, deficit response and reprioritisation evidence."
safety_governance,governance,"Clinical governance, credentialing, prescribing scope and audit for scope-enabled claiming.",ACC requires appropriate qualifications/current practising certificate and acceptable quality/right time/place treatment.,ACC paying providers,https://www.acc.co.nz/for-providers/invoicing-us/paying-patient-treatment,"ACC payment conditions include appropriate qualifications, current practising certificate, quality and documentation.",Set current to 0.75; full architecture 0.90; loose benefits 0.40.,0.75,public architecture + modelling judgement,0.7,"Credentialing model, prescribing/standing-order rules, adverse events, audit capacity."
gaming_controls,governance,"Audit, coding rules and balancing measures to prevent low-value activity and target gaming.",NPCD and target governance include balancing measures; target design still needs confirmation.,Health NZ primary care health data,https://www.healthnz.govt.nz/about-us/health-data/data-sets-and-collections/primary-care-data-and-statistics/primary-care-health-data,"Advisory/governance groups will advise target definition, implementation and balancing measures.",Set current to 0.60; full architecture 0.85; loose benefits 0.25.,0.6,public architecture + modelling judgement,0.65,"Coding rules, utilisation outliers, fraud/audit design, balancing measures, quality indicators."
direct_claiming,payment platform,Ability for accredited providers to claim directly through a national rules-based platform.,Current funding remains mediated through capitation/PHO/service arrangements; direct national claiming is the proposed architecture.,Ministry of Health capitation; Health NZ primary care data,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting | https://www.healthnz.govt.nz/about-us/health-data/data-sets-and-collections/primary-care-data-and-statistics/primary-care-health-data,Capitation is not paid directly to patients; PHO/governance structures remain central to data/funding arrangements.,Set current to 0.05; direct-claims scenarios 0.75-0.90.,0.05,public architecture + policy option,0.6,"Platform specifications, credentialing, claims processing cost, provider onboarding and audit data."
stakeholder_alignment,political economy,"Coalition support across providers, PHOs, Māori/Pacific providers, ambulance, Health NZ, ACC and Treasury.",No direct public calibration yet; stakeholder validation is required.,Project validation plan,internal,Not yet measured.,Set current to 0.35; improved where reform is coherent and preserves equity/locality functions.,0.35,unvalidated judgement,0.25,Workshop scoring by stakeholder group; submissions; interviews.
narrative_coherence,political economy,Clarity of reform narrative as access architecture rather than pro-market or sector income claim.,No direct public calibration yet; communication testing is required.,Project validation plan,internal,Not yet measured.,Set current to 0.30; full architecture 0.85 if framed as access/hospital-avoidance and equity-protected.,0.3,unvalidated judgement,0.25,Stakeholder/political discourse analysis and messaging tests.
