id,doc,status,type,url,key,implication
SRC001,Capitation reweighting public page,Sourced and read from public page,Public policy page,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,"Capitation was introduced in 2002; is core funding for general practice; current formula based on late-1990s use; new formula considers age, sex, multimorbidity, rurality and deprivation; expected from 1 July 2026 subject to PHO Services Agreement negotiation.",Supports background; also shows current reform is allocation-oriented and still capitation-centred.
SRC002,Cabinet paper: Primary Health Care Funding Improvements,Sourced and read from public release/search-rendered PDF text,Cabinet paper,https://www.health.govt.nz/system/files/2025-07/Cabinet%20paper%20-%20Primary%20Health%20Care%20Funding%20Improvements%20Redacted.pdf,"States NZ already has a blended model of capitation, co-payments and targeted streams; capitation totalled $915.7m in 2024/25; structure is complicated; poor visibility of what funding buys; reweighting based on >2m patients across 18 PHOs.",Requires package to acknowledge the Government’s own description of a blended model and poor funding visibility.
SRC003,Briefing H2025066443: Reweighting capitation funding in primary care,Sourced and read from public release/search-rendered PDF text,Ministerial briefing,https://www.health.govt.nz/system/files/2025-09/Briefing-decision-Reweighting-capitation-funding-primary-care-H2025066443.pdf,"The Ministry recommended Cabinet agreement for adding variables; says technical specification of formula is operational for Health NZ; proposed variables include expanded age bands, deprivation, geography, multimorbidity and ethnicity, with some content redacted.",Supports the view that formula details remain partly operational/opaque and policy-visible variables are only part of the issue.
SRC004,Briefing H2025068320: Capitation reweighting – further advice,Sourced and read from public release/search-rendered PDF text,Ministerial briefing,https://www.health.govt.nz/system/files/2025-09/Briefing-Capitation-reweighting-further-advice-H2025068320.pdf,Reweighting based on updated workforce and utilisation data from over 2m patients across 18 PHOs; uses available data and assumptions to estimate costs; multivariate regression estimates impact of characteristics as predictors of primary care costs.,Strengthens technical background and supports ‘formula debates are assumption-heavy’ framing while avoiding overstatement.
SRC005,Briefing H2024057558: Sapere report and re-weighting primary care capitation funding,Sourced and read from public release/search-rendered PDF text,Ministerial briefing/Sapere anchor,https://www.health.govt.nz/system/files/2025-10/Briefing-Sapere-report-and-re-weighting-primary-care-capitation-funding-H2024057558.pdf,Confirms reweighting work is a technical analysis to improve the formula and does not consider fundamental changes to the overall primary care funding model.,Central citation for why broader architecture remains in scope.
SRC006,Cabinet material: Transforming primary care – first steps / next steps / delivering timely care,Sourced and read from public release page and snippets,Cabinet material bundle,https://www.health.govt.nz/information-releases/cabinet-material-transforming-primary-care-first-steps,"Public release includes Primary Care Tactical Action Plan, first steps, next steps, digital-first enrolment, after-hours care, strategic narrative, workforce appendix, Sapere briefing, letter to PHOs and related minutes.",Current reform comparator must be broader than capitation reweighting alone.
SRC007,Briefing H2025061978: Developing a health target for primary care,Sourced and read from public release/search-rendered PDF text,Ministerial briefing,https://www.health.govt.nz/system/files/2025-09/10-04-2025-Briefing-Developing-a-health-target-for-primary-care-H2025061978.pdf,Advises on new target; first primary care access target; focuses on general practice; accountability linked to capitation; scope/measure choices include redactions; target intended to increase accountability and assurance of investment.,Supports KPI salience game and highlights target is narrower than whole primary/urgent/ambulance access.
SRC008,Primary care health target public page,Sourced and read,Public policy page,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/primary-care-health-target,Proposed target: more than 80% of people can access an appointment with a general practice provider within one week; effective from 1 July 2026.,Used for target background and KPI discussion.
SRC009,National Primary Care Dataset public page and guide,Sourced and read,Health NZ data programme,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan/national-primary-care-dataset-and-new-primary-care-health-target,"Dataset will collect general practice encounter and appointment information; includes booked date, seen date, outcome; data flows from April 2026; used for target reporting from July 2026; public reporting by end-2026.",Supports data observability game and model validation roadmap.
SRC010,National Primary Care Dataset key sector themes and detailed scenarios,Sourced and read from public release/search-rendered PDF text,Health NZ dataset feedback document,https://www.healthnz.govt.nz/assets/About-us/Planning-and-performance/Primary-care-action-plan/NPCD-key-sector-themes-and-detailed-scenarios-v3.pdf,"Flags unintended consequences of access target, including booking behaviour, planned care, follow-up, chronic care, rural patients, elderly patients and transport/family-support needs.",Adds balancing measures and gaming risk to KPI game.
SRC011,Primary Care Tactical Action Plan,Sourced and read,Health NZ programme page,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan,Describes >$640m primary/community investment; 80% access target; national dataset; performance-based funding; capitation formula update; online 24/7 GP care; fewer closed books; slower ED growth; workforce aims.,"Current reform comparator must include target, data, digital care, workforce and funding increases."
SRC012,Vote Health Estimates 2025/26,Sourced and read,Treasury appropriation document,https://www.treasury.govt.nz/publications/estimates/vote-health-health-sector-estimates-appropriations-2025-26,"Separate appropriations exist for Delivering Hospital and Specialist Services and Delivering Primary, Community, Public and Population Health Services.","Corrects earlier residual-budget framing: formal separation exists; the game is about salience, transfers, baselines and operational pressure, not an unrestricted single pot."
SRC013,Supplementary Estimates 2024/25 Vote Health,Sourced and read,Treasury appropriation document,https://www.treasury.govt.nz/publications/supplementary-estimates/vote-health-supplementary-estimates-appropriations-2024-25,Shows 2024/25 supplementary appropriations and confirms separate primary/community/public/population and hospital/specialist scopes.,Supports corrected budget architecture discussion.
SRC014,DPMC/Treasury release on allocation/commissioning budgets,Sourced and read from search-rendered PDF text,Reform budgeting advice,https://www.dpmc.govt.nz/sites/default/files/2022-08/htu-dpmc-2021-2022-1220-allocation-comissioning-budgets.pdf,"Cabinet agreed in principle to condensed Vote Health appropriations, including separate primary/community/public/population, hospital/specialist and hauora Māori appropriations.",Further corrects budget framing and supports discussion of why separate appropriations were designed.
SRC015,OECD programme budgeting in New Zealand health,Sourced and read,International policy analysis,https://www.oecd.org/en/publications/fiscal-sustainability-of-health-systems_880f3195-en/full-report/component-9.html,"OECD describes NZ’s new programme structure as designed to rebalance away from hospital dominance and toward primary/community/public health, while acknowledging separate programmes can hinder integration.",Adds nuance: the reform design already recognised the hospital dominance game.
SRC016,Health and Disability System Review final report / Section C,Sourced and read,Major system review,https://www.health.govt.nz/publications/health-and-disability-system-review-final-report,"Recommends Tier 1 funding ringfencing in medium term, locality approach, no requirement to contract through national PHO Services Agreement, and multiple contracting options for general practice.",Supports place-based accountability and PHO function/intermediation distinction.
SRC017,Commissioning for Pae Ora Healthy Futures 2022,Sourced and read,Commissioning framework,https://www.health.govt.nz/publications/commissioning-for-pae-ora-healthy-futures-2022,"Framework grounded in Te Tiriti o Waitangi and whānau-centred commissioning; supports commissioning as relational, place-aware and equity-focused.",Place-based accountability and Te Tiriti legitimacy must be explicit guardrails.
